"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"50";"If a ray of light can not concentrate at the front or back of the eye it causes shadowiness .";"यदि कोई रोशनी की किरण आँख के पर्दे के आगे या पीछे किसी एक बिन्दु पर केन्द्रित नही हो पाती जिससे कि धुंधला दिखता है ।";"यदि प्रकाश की किरण आंख के परदे के सामने या पीछे किसी एक बिंदु पर केंद्रित न हो , जिससे वह धुंधली दिखाई दे।";"12.815376"
"51";"Shadowiness in seeing things nearby or at a distance , headache , reddening of eyes .";"दूर अथवा नजदीक देखने में धुंधलापन सर में दर्द होना आँख का लाल होना ।";"दूर या पास देखने में धुंधलापन ; सिर में दर्द ; आँख का लाल होना।";"19.251614"
"52";"Cylindrical glasses have to be worn always .";"सिलिंडरिकल ग्लासेस को हमेशा पहनना है ।";"हमेशा सिलिंडर का चश्मा पहनें।";"7.160476"
"53";"Cancer is a lifestyle generated disease .";"कैंसर एक जीवन शैली से उत्पन्न होने वाली बीमारी है ।";"कैंसर जीवनशैली से जुड़ी बीमारी है।";"4.642454"
"54";"Cancer erupts by our wrong practices , thoughts , behavior and diet .";"कैंसर हमारे गलत अचार , विचार व्यवहार और आहार से उत्पन्न होता है ।";"हमारे गलत अचार , विचार , व्यवहार और खान - पान से कैंसर पैदा होता है।";"28.787878"
"55";"Smoking excessive cigarette causes more of windpipe cancer .";"अधिक सिगरेट पीने से फेफड़ों , स्वॉस की नलियों का कैंसर अधिक होता है ।";"अधिक सिगरेट पीने से फेफड़ों , श्वसन नलियों का कैंसर अधिक होता है।";"42.643561"
"56";"We progress towards development and getting rid of diseases .";"जैसे - जैसे हम विकास की ओर अग्रसर हो रहे है एवं संक्रामक रोगों पर निजात पा रहे हैं ।";"जैसे - जैसे हम विकास की ओर बढ़ रहे हैं और संक्रामक रोगों से मुक्ति पा रहे हैं।";"37.806446"
"57";"Due to changes in our lifestyle the number of cancer and heart patients are increasing .";"वैसे - वैसे अपने जीवन की शैली में बदलाव के कारण कैंसर व हदय रोगियों की संख्या में वृद्धि हो रही है ।";"वैसे उनकी जीवनशैली में बदलाव के कारण कैंसर और हृदय रोगियों की संख्या बढ़ती जा रही है।";"21.273202"
"58";"This disease is number one in Japan . In developed countries , this disease in at number 2 and in developing countries this disease is at number 3 .";"जापान में यह बीमारी नम्बर एक पर है विकसित देशों में यह बीमारी दूसरे नम्बर पर , और विकासशील देशों में यह तीसरे नम्बर पर है ।";"यह रोग जापान में पहले नंबर पर है , विकसित देशों में यह रोग दूसरे नंबर पर है और विकासशील देशों में यह तीसरे नंबर पर है।";"33.460805"
"59";"One out of every eight persons can at any time become victim of cancer .";"भारत में आठ में से एक व्यक्ति अपने उमर में कभी भी कैंसर से पीड़ित हो सकता है ।";"भारत में आठ में से एक व्यक्ति को उनकी उम्र में किसी समय कैंसर का पता चल सकता है।";"33.701293"
"60";"This disease found in different types at different locations in our country due to difference in the lifestyle , customs and religion .";"हमारे देश में जीवन शैली , रीती - रीवाज , धर्म भिन्न होने के कारण यह बीमारी अलग - अलग जगह में विभिन्न प्रकार से पायी जाती है ।";"हमारे देश में अलग - अलग जीवनशैली , रीति - रिवाज , धर्म के कारण यह रोग अलग - अलग जगहों पर अलग - अलग तरह से पाया जाता है।";"12.226976"
"61";"All the data in the country has been calculated . Ovarian cancer and breast cancer is found in 40 percent of the women in cities .";"देश के सभी आंकडों का आंकलन कर देखा गया है शहरों में 40 प्रतिशत महिलाओं में बच्चेदानी के मुँह का कैंसर व स्तन कैंसर पाये जाते हैं ।";"देश के तमाम आंकड़ों का आकलन करें तो देखा गया है कि शहरों में 40 फीसदी महिलाओं में सर्वाइकल , ओरल कैंसर और ब्रेस्ट कैंसर पाया जाता है .";"10.815594"
"62";"It is between 60 and 65 percent among the rural women .";"ग्रामीण महिलाओं में यह दोनों 60 से 65 प्रतिशत के बीच में है ।";"ग्रामीण महिलाओं में यह 60 से 65 प्रतिशत के बीच है।";"53.419530"
"63";"Lungs and breathing pipe cancer is found more due to smoking and pollution and the possibility of cancer of the mouth and stomach is more with gutkha , pan parag , tobacco and tobacco powder .";"पुरूषों में धूम्रपान एवं प्रदूषण से फेफड़े व श्वाँस साँस की नली का कैंसर अधिक पाया जाता है तथा गुटका , पान पराग , खैनी , सुरती से मुँह व पेट का कैंसर होने की अधिक सम्भावना पायी गयी है ।";"धूम्रपान और प्रदूषण के कारण पुरुषों में फेफड़ों और श्वसन तंत्र का कैंसर अधिक पाया जाता है और गुटखा , पान पराग , खैनी , सुरती से मुंह और पेट का कैंसर होने की संभावना अधिक पाई गई है।";"37.483331"
"64";"What is cancer .";"कैंसर क्या है ?";"कैंसर क्या है ?";"100.000000"
"65";"Cancer is name of a disease .";"कैंसर एक बीमारी का नाम है ।";"कैंसर एक बीमारी का नाम है।";"64.318702"
"66";"In cancer cells multiply by itself and ignores the rules of the body .";"कैंसर में शरीर में कोशिका अपने आप ही गुणात्मक तरीके से वृद्वि करती है और शरीर के नियमों को अनदेखा करती है ।";"कैंसर में शरीर में कोशिकाएं अपने आप गुणात्मक रूप से गुणा करती हैं और शरीर के नियमों की अनदेखी करती हैं।";"24.711482"
"67";"Cells also reach other parts of the body .";"कोशिका शरीर के दूसरे भागों में भी पहुँच जाती है ।";"कोशिका शरीर के अन्य भागों में भी पहुँचती है।";"23.899977"
"68";"Cell takes the form of a cyst or wound , and destroys all the systems coming in contact with it .";"कोशिका एक गिल्टी या घाव का रूप ले लेती है , और अपने सम्पर्क में आने वाली सभी तन्त्रों को नष्ट कर देती है ।";"कोशिका एक पुटी या घाव का रूप ले लेती है , और इसके संपर्क में आने वाली सभी प्रणालियों को नष्ट कर देती है।";"53.714436"
"69";"Cancer is a group of more than 1000 diseases .";"कैंसर 1000 से अधिक बीमारीयों का एक समूह है ।";"कैंसर एक हजार से अधिक बीमारियों का समूह है।";"11.229617"
"70";"Although each of the disease is different from the other but basically all the types of cancers occurs as a result of anomaly in some cells .";"हालांकि हर बीमारी एक दूसरे से काफी भिन्न होती है , परन्तु मूलतः सभी कैंसर शरीर की कुछ कोशिकाओं में अव्यवस्था के परिणामस्वरुप होते हैं ।";"यद्यपि प्रत्येक रोग एक दूसरे से काफी भिन्न होता है , मूल रूप से सभी कैंसर शरीर की कुछ कोशिकाओं में विकार के परिणामस्वरूप होते हैं।";"39.171966"
"71";"Generally , easy tumors can be weeded out through surgery and there is no possibility of its coming up again .";"सामान्यतः सुसाध्य ट्यूमरों को शल्य - चिकित्सा द्वारा निकाला जा सकता है और इनके फिर से होने की संभावना नही होती ।";"आमतौर पर सौम्य ट्यूमर को शल्य चिकित्सा द्वारा हटाया जा सकता है और इसकी पुनरावृत्ति होने की संभावना नहीं होती है।";"19.514193"
"72";"Difficult tumors are cancer .";"असाध्य ट्यूमर कैंसर होते हैं ।";"घातक ट्यूमर कैंसर हैं।";"19.376929"
"73";"Difficult tumors can destroy nearby tissues and parts .";"असाध्य ट्यूमर निकट के ऊतकों और अंगों को नष्ट कर सकते हैं ।";"घातक ट्यूमर आस - पास के ऊतकों और अंगों को नष्ट कर सकते हैं।";"52.960749"
"74";"Cancer cells can spread into other areas through which new tumors can get born .";"कैंसर की कोशिकाएँ शरीर के अन्य भागों में फैल सकती हैं या रोगव्यापि कर सकती हैं , जिससे नए ट्यूमर पैदा हो सकते हैं ।";"कैंसर कोशिकाएं शरीर के अन्य भागों में फैल या फैल सकती हैं , जिससे नए ट्यूमर बन सकते हैं।";"40.567201"
"75";"As cancer can spread , it is necessary that the doctor should immediately find whether the tumor is formed and that it is cancer .";"कैंसर चूँकि फैल सकता है , अतः आवश्यक है कि चिकित्सक तुरन्त यह पता कर लें कि क्या ट्यूमर बन गया है , और यह कैंसर है ।";"चूंकि कैंसर फैल सकता है , इसलिए यह महत्वपूर्ण है कि डॉक्टर तुरंत पता लगा लें कि क्या ट्यूमर बन गया है , और यह कैंसर है।";"48.808025"
"76";"The treatment of cancer can start as soon as it is found .";"कैंसर का पता चलते ही इसका इलाज आरम्भ किया जा सकता है ।";"कैंसर का पता चलते ही उसका इलाज शुरू किया जा सकता है।";"40.176826"
"77";"Several symptoms shows up due to cancer that gives the impressions of cancer .";"कैंसर के कारण ऐसे अनेक लक्षण दिखलाई पड़ने लगते हैं जो कैंसर होने का आभास देते हैं ।";"कैंसर के कारण कई ऐसे लक्षण दिखने लगते हैं जो कैंसर होने का आभास देते हैं।";"48.832168"
"78";"Details of some important symptoms are given below .";"कुछ महत्वपूर्ण लक्षणों का विवरण नीचे दिया जा रहा है ।";"कुछ महत्वपूर्ण विशेषताओं का वर्णन नीचे किया गया है।";"9.080028"
"79";"If there is an oxalate stone in the kidney what preventions could be advantageous .";"गुर्दे में ऑक्जेलेट पत्थरी रही हो तो आगे किन - किन चीजों से परहेज बरतना फायदेमंद हो सकता है ?";"अगर किडनी में ऑक्सालेट स्टोन है तो और किन चीजों से बचना फायदेमंद हो सकता है ?";"25.378915"
"80";"Any wound that do not heal in enough time .";"कोई भी घाव जो काफी समय से भरता नहीं हो ।";"कोई भी घाव जो लंबे समय तक नहीं भरता है।";"27.338535"
"81";"Cyst or swelling on breast or any other part of the body .";"स्तन पर या शरीर में अन्य कहीं गाँठ या सूजन ।";"स्तन पर या शरीर में कहीं और गांठ या सूजन।";"38.662527"
"82";"Abnormal passing of blood or pus from any part or organ of body .";"शरीर के किसी भाग या अंग से असामान्य रूप से रक्त या मवाद आना ।";"शरीर के किसी अंग या अंग से असामान्य रूप से रक्त या मवाद आना।";"65.151326"
"83";"Continuous prolonged bouts of cough or occurrence of heaviness in speech .";"लगातार काफी समय तक खाँसी आना या आवाज भारी होना ।";"लंबे समय तक लगातार खांसना या आवाज भारी हो जाती है।";"18.360281"
"84";"Pain in swallowing food or during toilet , continuous indigestion or constipation .";"खाना निगलने या शौच में कष्ट होना , लगातार अपच या कब्ज रहना ।";"भोजन या शौच निगलने में कठिनाई , लगातार अपच या कब्ज।";"22.825471"
"85";"Change in general habits of bowels .";"आँतों की सामान्य आदतों में परिवर्तन ।";"सामान्य आंत्र आदतों में परिवर्तन।";"15.848739"
"86";"Sudden change in the size , color or shape of moles or warts .";"तिल या मस्से के आकार , रंग या रुप में अचानक परिवर्तन ।";"तिल या मस्से के आकार , रंग या दिखावट में अचानक बदलाव।";"61.681865"
"87";"However , such symptoms erupts not just because of cancer , there can be other reasons as well for these .";"वैसे , ऐसे लक्षण केवल कैंसर के कारण ही पैदा नहीं होते , इनके और कारण भी हो सकते हैं ।";"वैसे ऐसे लक्षण सिर्फ कैंसर के कारण ही नहीं होते , इसके और भी कारण हो सकते हैं।";"21.662674"
"88";"Therefore one should not take it as cancer just on its appearance .";"अतः इन्हें देखते ही कैंसर नहीं मान लेना चाहिये ।";"इसलिए इन्हें देखना कैंसर नहीं समझना चाहिए।";"9.469167"
