"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"Second Machine translated sentence";"First machine translated sentence bleu score";"Second machine translated sentence bleu score"
"46";"When the rays of light collects at the back of the eye . This is seen mostly in the young children .";"जब प्रकाश की किरणें रेटिना के पीछे एकत्रित होती है यह ज्यादातर जवान बच्चों में देखा जाता है ।";"जब प्रकाश की किरणें आंख के पिछले भाग पर एकत्रित होती हैं। यह ज्यादातर छोटे बच्चों में देखा जाता है।";"जब प्रकाश की किरणें आंख के पीछे एकत्र होती हैं। यह ज्यादातर छोटे बच्चों में देखा जाता है।";"29.084029";"30.861725"
"47";"headache , heaviness in the eyes , problem in reading .";"सिर दर्द , आँखों में भारीपन , पढ़ने में परेशानी ।";"सिरदर्द , आंखों में भारीपन , पढ़ने में समस्या।";"सिरदर्द , आंखों में भारीपन , पढ़ने में समस्या।";"37.405485";"37.405485"
"48";"Due to weakness in the muscles of the eyes lens can not change its shape . The rays of light falls behind the retina while reading or doing things at a close distance . This is found at an age of 40 years or above .";"आँख की मांसपेशियों की कमजोरी के कारण लैन्स अपना आकार नही बदल पाता पढ़ते या नजदीकी काम करते समय प्रकाश की किरणें रेटिना के पीछे पड़ती हैं यह 40 वर्ष और उससे ऊपर की उम्र में पाई जाती है ।";"आंखों की मांसपेशियों में कमजोरी के कारण लेंस अपना आकार नहीं बदल पाता है। प्रकाश की किरणें निकट दूरी पर पढ़ते या करते समय रेटिना के पीछे पड़ती हैं। यह 40 वर्ष या उससे अधिक की आयु में पाया जाता है।";"आंखों की मांसपेशियों में कमजोरी के कारण लेंस अपना आकार नहीं बदल सकता है। प्रकाश की किरणें रेटिना के पीछे होती हैं , जबकि पढ़ना या दूर से काम करना। यह 40 वर्ष या उससे अधिक उम्र में पाया जाता है।";"16.542260";"21.262894"
"49";"Shadowiness in reading-writing at a distance or doing things nearby .";"दूर पढ़ने - लिखने व कोई भी नजदीकी काम करने में धुंधलापन ।";"दूर से पढ़ने - लिखने में या आस - पास की चीजें करने में छाया होना ।";"एक दूरी पर पढ़ने - लिखने या पास में बातें कर में छायापन .";"11.643948";"11.359355"
"50";"If a ray of light can not concentrate at the front or back of the eye it causes shadowiness .";"यदि कोई रोशनी की किरण आँख के पर्दे के आगे या पीछे किसी एक बिन्दु पर केन्द्रित नही हो पाती जिससे कि धुंधला दिखता है ।";"यदि प्रकाश की किरण आंख के आगे या पीछे ध्यान केंद्रित नहीं कर पाती है तो यह छाया का कारण बनती है।";"यदि प्रकाश की एक किरण आंख के सामने या पीछे ध्यान केंद्रित नहीं कर सकती है तो यह छायाप्रभाव का कारण बनता है।";"11.864900";"4.087925"
"51";"Shadowiness in seeing things nearby or at a distance , headache , reddening of eyes .";"दूर अथवा नजदीक देखने में धुंधलापन सर में दर्द होना आँख का लाल होना ।";"आस - पास या दूर की चीजों को देखने में छाया , सिरदर्द , आंखों का लाल होना।";"आस - पास की चीजों को देखने या दूर , सिरदर्द , आंखों का लाल होना।";"6.423095";"5.816635"
"52";"Cylindrical glasses have to be worn always .";"सिलिंडरिकल ग्लासेस को हमेशा पहनना है ।";"बेलनाकार चश्मा हमेशा पहनना पड़ता है।";"बेलनाकार चश्मा हमेशा पहना जाना है।";"13.741273";"6.870636"
"53";"Cancer is a lifestyle generated disease .";"कैंसर एक जीवन शैली से उत्पन्न होने वाली बीमारी है ।";"कैंसर जीवनशैली से उत्पन्न बीमारी है।";"कैंसर एक जीवनशैली जनित बीमारी है।";"8.389862";"7.807646"
"54";"Cancer erupts by our wrong practices , thoughts , behavior and diet .";"कैंसर हमारे गलत अचार , विचार व्यवहार और आहार से उत्पन्न होता है ।";"हमारे गलत व्यवहारों , विचारों , व्यवहारों और खान - पान से कैंसर का प्रकोप होता है।";"कैंसर हमारी गलत प्रथाओं , विचारों , व्यवहार और आहार से पैदा होता है।";"6.256118";"21.142142"
"55";"Smoking excessive cigarette causes more of windpipe cancer .";"अधिक सिगरेट पीने से फेफड़ों , स्वॉस की नलियों का कैंसर अधिक होता है ।";"अत्यधिक सिगरेट पीने से विंडपाइप कैंसर अधिक होता है।";"सिगरेट का अधिक सेवन करने से शराब के नशे में होने वाले कैंसर का खतरा बढ़ जाता है।";"15.324196";"3.211547"
"56";"We progress towards development and getting rid of diseases .";"जैसे - जैसे हम विकास की ओर अग्रसर हो रहे है एवं संक्रामक रोगों पर निजात पा रहे हैं ।";"हम विकास की ओर बढ़ते हैं और बीमारियों से छुटकारा पाते हैं।";"हम विकास और बीमारियों से छुटकारा पाने की दिशा में आगे बढ़ते हैं।";"11.509237";"3.990503"
"57";"Due to changes in our lifestyle the number of cancer and heart patients are increasing .";"वैसे - वैसे अपने जीवन की शैली में बदलाव के कारण कैंसर व हदय रोगियों की संख्या में वृद्धि हो रही है ।";"हमारी जीवनशैली में बदलाव के कारण कैंसर और हृदय रोगियों की संख्या बढ़ रही है।";"हमारी जीवनशैली में बदलाव के कारण कैंसर और हृदय रोगियों की संख्या बढ़ रही है।";"19.879765";"19.879765"
"58";"This disease is number one in Japan . In developed countries , this disease in at number 2 and in developing countries this disease is at number 3 .";"जापान में यह बीमारी नम्बर एक पर है विकसित देशों में यह बीमारी दूसरे नम्बर पर , और विकासशील देशों में यह तीसरे नम्बर पर है ।";"यह बीमारी जापान में नंबर वन है। विकसित देशों में यह बीमारी दूसरे नंबर पर और विकासशील देशों में यह बीमारी तीसरे नंबर पर है।";"यह बीमारी जापान में सबसे ज्यादा है। विकसित देशों में , यह रोग संख्या 2 में और विकासशील देशों में यह रोग संख्या 3 पर है।";"37.099008";"21.885228"
"59";"One out of every eight persons can at any time become victim of cancer .";"भारत में आठ में से एक व्यक्ति अपने उमर में कभी भी कैंसर से पीड़ित हो सकता है ।";"हर आठ में से एक व्यक्ति कभी भी कैंसर का शिकार हो सकता है।";"हर आठ में से एक व्यक्ति किसी भी समय कैंसर का शिकार हो सकता है।";"27.338867";"23.077731"
